15m (71),12m (66)
12.28504,118.81861
12.02597, 118.98 
12.79785,119.38586
12.03491,120.0553
12.04309,120.08582
12.0559,120.12223
12.06583,120.13794
12.07547,120.13842
12.00925,120.41057
11.99842,120.41776
12.01365,120.40536
11.99205,120.38758
11.99916,120.42319
36.45889,120.45937
36.18387,120.50283
36.10497,120.53394
36.07552,120.55446
36.07207,120.57116
36.0486,120.59533
36.05053,120.62324
36.06932,120.63819
36.05014,120.66289
36.05956,120.68696
36.05907,120.77664
36.06977,120.8221
36.06454,120.8524
36.0579,120.87997
36.07558,120.92943
36.05847,120.94078
36.06633,120.96251
36.05628,121.01917
36.06831,121.05104
36.08103,121.08284
35.76132,121.11232
35.64314,121.15058
35.63049,121.17432
35.63318,121.19462
35.63833,121.21639
35.65059,121.24468
35.63487,121.26327
35.65445,121.29168
35.66452,121.29565
35.67708,121.31607
35.8123,121.32741
34.51018,121.35107
34.16561,121.35688
34.16801,121.37796
34.17372,121.38468
34.18031,121.40539
32.96571,121.41329
32.95011,121.42773
32.96569,121.44326
32.96764,121.4621
32.96196,121.45932
32.97149,121.47961
32.88403,121.47787
32.86894,121.48332
32.87523,121.48953
28.87103,121.48969
32.75883,121.49597
32.75787,121.49198
32.74899,121.52004
32.75126,121.51496
32.76154,121.5126
33.17116,121.51114
34.60369,121.51453
34.58415,121.5041
33.97026,121.50183
32.61644,121.51188
32.06,121.53435
32.13797,121.54266
32.13488,121.53218
32.1356,121.52514
32.13868,121.53063
32.15255,121.5307
32.15833,121.53433
32.1478,121.53512
32.16235,121.51654
32.18399,121.52518
32.20742,121.53411
32.07947,121.52892
31.80923,121.5295
31.83717,121.51872
31.82858,121.52209
31.82555,121.50707
31.82812,121.50825
31.8339,121.51602
31.82179,121.50974
31.83254,121.50261
31.89227,121.49067
31.88042,121.48781
31.99848,121.47644
31.99965,121.47854
31.99217,121.48295
31.99448,121.47471
31.95449,121.47186
31.94483,121.45952
31.95799,121.46311
31.95373,121.46458
31.99361,121.45468
32.04714,121.46914
32.03851,121.46692
32.04417,121.4561
32.04287,121.45157
32.02276,121.43804
32.01417,121.44506
32.02532,121.43781
32.03555,121.43264
32.03493,121.42554
24.34666,121.45138
2.58888,121.46298
3.20829,121.45214
4.1734,121.45236
4.88994,121.45768
5.19436,121.461
5.53088,121.44848
5.70523,121.43811
6.28357,121.44015
8.39885,121.44653
8.82486,121.44841
12.74923,121.44772
23.88457,121.44618
23.95256,121.45043
23.954,121.44369
23.97735,121.45247
23.98298,121.43952
23.98307,121.44646
23.9764,121.44402
24.00964,121.45129
24.03058,121.45629
24.05401,121.44146
24.00646,121.45451
24.0289,121.44466
23.99282,121.44304
24.05713,121.43722
24.09788,121.43443
24.1571,121.44671
24.13987,121.4737
24.08207,121.44572
24.01548,121.44273
23.88276,121.42745
24.10354,121.44493
24.13911,121.41511
23.87331,121.19716
23.13256,120.89345
23.22304,120.89657
23.20513,120.90399
23.21616,120.92009
23.19488,120.90991
23.31799,120.90779
23.42519,120.89355
23.65764,120.89736
23.65699,120.9072
22.28914,120.91069
21.98255,120.91827
22.03888,120.91209
23.3696,120.93119
23.41619,120.91925
23.35551,120.90799
23.29658,120.92609
23.32446,120.92862
23.36397,120.93384
23.37001,120.94963
23.37135,120.95306
23.34152,120.97248
23.18686,121.04945
23.16414,121.42524
23.37764,122.14917
23.43812,123.08617
23.31675,125.92019
23.70814,127.97764
23.75285,128.87813
23.88521,129.39242
23.84499,129.79224
23.83296,130.06069
23.8096,130.41938
23.78887,130.85718
23.81126,131.25214
23.79299,131.74278
23.8554,132.9193
23.87232,134.54107
23.80906,140.05441
23.81709,144.52476
23.95566,142.68327
23.88951,149.90851
23.86752,151.30495
23.92234,152.35028
23.98132,153.23434
24.06632,153.68982
24.20036,154.20361
20.54024,154.66414
21.04195,156.10959
20.82921,159.21999
20.60731,160.07075
20.51503,161.30669
20.45443,161.66494
-6.91302,141.66349
-11.45133,109.55795
-2.33782,197.65546
23.71416,174.49352
42.51531,86.49593
153.1261,57.35434
35.00244,128.41246
14.38444,152.61799
-3.39862,-68.07153
113.7836,75.59715
83.9672,95.75256
96.78697,86.91297
87.60719,86.91297
92.02519,86.91297
92.20332,86.91297
74.95613,70.09836
93.90923,-46.20432
98.17561,10.54109
111.56743,59.90787
20.78474,86.18662
317.88393,127.08992
300.40341,124.7567
296.27273,124.01605
347.15151,124.12938
-10.1064,123.691
-6.57779,123.95424
-5.47008,125.71994
-4.56663,125.26843
-4.11114,125.17596
-4.02265,124.90782
-3.78289,124.96349
-4.1942,124.9977
-4.17515,124.09999
-4.28226,124.39259
-4.35821,124.20101
-4.90138,124.23653
-4.72121,123.66908
-4.33454,123.96973
-4.40462,123.72144
-4.65595,123.44278
-4.73403,123.83137
-4.55272,122.79812
-3.90562,122.82611
-2.98888,122.16991
-3.53148,121.03277
-3.59861,119.66896
-2.54416,122.21885
-2.9939,122.48411
-2.99912,119.90531
-3.22569,118.99828
-3.34038,122.56041
-3.80472,119.67999
-4.07888,120.51997
-4.54131,118.79789
-4.64879,117.71299
-4.81699,117.42249
-4.69036,116.00762
-5.63822,114.27111
-5.75639,114.45622
-6.23594,112.75362
-6.03844,112.23577
-5.38549,114.24734
-4.49407,112.77615
-1.91327,112.03731
13.24439,104.88564
70.22547,110.56087
-3.69848,110.49224
-1.02322,109.85078
-1.51242,115.01801
-1.49195,119.70219
-1.04514,120.89435
-2.67365,121.42872
-2.84839,121.49426
-2.34046,119.77045
-2.94091,119.24178
-3.54434,118.85975
-2.06185,115.81789
-1.31078,116.79151
-2.8672,115.53315
-2.92543,116.24361
-2.20441,117.91667
-4.58791,118.08262
-7.31515,114.28767
-10.0729,112.20904
-7.3562,111.75719
-7.66373,122.26501
-8.18885,124.31121
-9.63152,124.28834
-14.67916,106.31922
-18.78353,100.15198
-16.01489,95.34511
-7.19536,115.78085
-10.59867,125.60103
-5.95513,127.61598
-10.43042,125.4553
-7.41012,127.42242
-7.86414,128.27591
-9.24997,128.16066
-8.81419,128.91907
-10.56594,128.35275
-11.12516,128.47229
-11.75172,127.93244
-12.08057,128.18742
-12.0809,128.40359
-14.31568,122.42892
-14.06796,127.97592
-13.57112,128.35436
-14.84879,127.46008
-14.12917,128.29004
-12.73109,128.98855
-12.81341,129.37654
-13.73716,129.44777
-13.48174,131.39071
-14.50414,131.67254
-14.81572,131.52831
-15.47723,131.8405
-19.29369,130.58486
-15.62803,131.69369
-13.98764,132.33151
-15.33587,131.65744
-16.23286,131.26494
-16.12138,130.54242
-16.74412,129.87664
-18.66412,128.57174
-15.95543,131.49752
-15.03721,130.56875
-14.30977,129.54821
-15.99329,129.57627
-16.87907,130.48413
-18.12469,130.05262
-18.51733,129.68797
-18.10276,129.86625
-17.35355,130.70312
-16.48665,130.98332
-26.52758,126.81376
-20.18967,129.11168
-17.29757,130.71619
-15.59877,131.35933
-15.59599,131.40258
-17.96702,131.28564
-21.68051,129.79334
-20.61354,130.7223
-16.89757,132.10752
-22.64509,128.02542
-22.34564,128.69288
-21.79556,130.67678
-14.65436,131.08511
-14.17629,130.97634
-25.7684,128.60392
-24.63474,127.25977
-16.34639,124.7369
-10.89351,126.31668
-10.9209,126.77049
-10.59265,127.06483
-9.79465,126.57907
-8.52962,127.03763
-9.6823,126.32171
-9.36529,125.33536
-7.16428,124.15688
-6.90876,123.22331
-7.52217,122.19964
-7.22639,122.8764
-7.47611,123.09731
-8.17701,122.91369
-7.0899,122.98721
-8.31789,122.3259
-8.93794,123.32981
-9.76424,123.67859
-3.96674,126.57718
-3.66385,128.25824
-2.79567,118.52923
-5.19648,120.60883
-4.52643,117.94884
-3.81805,119.91033
-2.9563,116.45996
-3.32441,120.10759
-2.9377,121.22402
-2.07553,121.11712
-2.70525,121.99452
-3.08244,121.26416
-2.08964,123.45989
-1.37798,124.4935
-2.76954,124.91856
-2.00064,124.96554
-1.90199,124.25909
-3.3719,125.27639
-3.75495,124.23003
-2.95168,125.31652
-1.85908,126.15182
-1.68336,126.90838
-15.71182,129.846
-8.38597,131.1771
-6.27765,131.95532
-4.17975,126.15312
-4.19647,128.22055
-2.47392,131.15146
-14.45321,132.71977
-10.50781,132.07409
-7.2161,125.77175
-7.05817,129.43624
-6.07801,131.94768
-5.40313,132.09656
-4.53304,133.24736
-3.28688,135.75922
-3.66673,133.79125
-3.4519,132.63212
-3.15543,133.51887
-2.83565,134.39875
-2.31951,135.2124
-4.32684,133.07595
-5.58911,131.71479
-4.46991,132.24919
-2.58041,131.88055
-0.71776,131.59144
-13.03639,132.13891
-12.31202,132.85743
-16.39814,133.90361
-14.64098,131.21726
-15.72557,133.1534
-16.60995,132.64154
-14.36952,131.96702
-12.57473,132.2108
-15.65556,132.78206
-13.06132,131.91793
-13.88533,131.2732
-12.04894,131.07985
-11.25057,131.01039
-7.02325,129.51763
-8.89658,130.57672
-10.93001,129.50846
-10.28948,130.05324
-12.52798,131.23385
-12.90422,129.71492
-14.36108,129.45991
-10.83237,131.49059
54.76126,114.36363
162.34018,61.11325
199.29494,47.17807
138.49953,44.37335
171.40983,-17.35561
165.79678,39.34553
234.61177,24.12636
253.35415,25.68564
180.32775,-47.82485
-1.89912,34.08412
-0.87922,4.81982
-3.15488,82.70079
2.64222,31.33682
9.71835,
8.97903,-84.44029
3.99411,-43.08758
4.91194,-11.68452
-4.0339,65.779
1.24396,16.37733
7.41739,25.10962
-9.56416,5.32099
-12.16649,-47.52884
-10.92838,-36.98522
-9.68791,28.70455
-9.09933,-13.27247
-14.11873,-64.03771
-10.60005,-135.20994
-11.57775,-96.64703
-6.34379,-80.07287
-7.06186,-85.90691
-5.9347,0
-4.81697,0
-8.71854,-36.80508
-11.87396,-40.21361
-8.94423,8.92217
-8.31308,27.31161
-9.55661,11.10154
-3.09035,-96.44921
-2.76421,0
-2.66824,0
-2.9342,0
-3.02176,-84.82029
5.88797,-104.95009
-6.67696,47.61818
0.18348,0
4.45009,0
14.23739,-69.39538
153.38017,-58.20104
117.43852,-223.264
255.96002,-212.54547
287.63985,-161.44888
32.65952,0
6.74994,0
8.6764,0
7.11967,0
6.83448,0
-0.31265,0
2.01234,0
-3.05606,0
-1.61078,0
-5.06967,0
-5.02122,0
-4.98765,0
-5.61635,0
-3.28888,0
-1.56344,0
-1.09491,0
-2.30199,0
-3.84646,0
-4.70791,0
